,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
0,Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
1,Aids,avoid open cuts,wear ppe if possible,consult doctor,follow up
2,Alcoholic,stop alcohol consumption,consult doctor,medication,follow up
3,Allergy,apply calamine,cover area with bandage,,use ice to compress itching
4,Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
5,Bronchial,switch to loose cloothing,take deep breaths,get away from trigger,seek help
6,Cervical,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
7,Chicken,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
8,Chronic,cold baths,anti itch medicine,consult doctor,eat healthy
9,Common,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
10,Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
11,Diabetes,have balanced diet,exercise,consult doctor,follow up
12,Dimorphic,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
13,Drug,stop irritation,consult nearest hospital,stop taking drug,follow up
14,Fungal,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
15,Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
16,Gerd,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
17,Heart,call ambulance,chew or swallow asprin,keep calm,
18,Hepatitis,stop alcohol consumption,rest,consult doctor,medication
19,Hepatitis,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
20,Hepatitis,Consult nearest hospital,vaccination,eat healthy,medication
21,Hepatitis,consult doctor,medication,eat healthy,follow up
22,Hepatitis,consult nearest hospital,vaccination,eat healthy,medication
23,Hypertension,meditation,salt baths,reduce stress,get proper sleep
24,Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
25,Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
26,Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
27,Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
28,Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
29,Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
30,Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
31,Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
32,Paralysis,massage,eat healthy,exercise,consult doctor
33,Peptic,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
34,Pneumonia,consult doctor,medication,rest,follow up
35,Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
36,Tuberculosis,cover mouth,consult doctor,medication,rest
37,Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
38,Urinary,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
39,Varicose,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
40,Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
